"sku","name","series","description","rarity","image","msrp"
"LBB-EXM-SM","Soy Milk","Exciting Macaron (V1)","Soy Milk from Labubu V1 Exciting Macaron blind box.","common","","27.99"
"LBB-EXM-GG","Green Grape","Exciting Macaron (V1)","Green Grape from Labubu V1 Exciting Macaron blind box.","common","","27.99"
"LBB-EXM-LB","Lychee Berry","Exciting Macaron (V1)","Lychee Berry from Labubu V1 Exciting Macaron blind box.","common","","27.99"
"LBB-EXM-SSC","Sea Salt Coconut","Exciting Macaron (V1)","Sea Salt Coconut from Labubu V1 Exciting Macaron blind box.","common","","27.99"
"LBB-EXM-SB","Sesame Bean","Exciting Macaron (V1)","Sesame Bean from Labubu V1 Exciting Macaron blind box.","common","","27.99"
"LBB-EXM-TO","Toffee","Exciting Macaron (V1)","Toffee from Labubu V1 Exciting Macaron blind box.","common","","27.99"
"LBB-EXM-SCC","Chestnut Cocoa","Exciting Macaron (V1)","Secret character from V1 (Chestnut Cocoa).","secret","","27.99"
"LBB-HAS-SI","Sisi","Have a Seat (V2)","Sisi from Labubu V2 Have a Seat blind box.","common","","27.99"
"LBB-HAS-HE","Hehe","Have a Seat (V2)","Hehe from Labubu V2 Have a Seat blind box.","common","","27.99"
"LBB-HAS-BA","Baba","Have a Seat (V2)","Baba from Labubu V2 Have a Seat blind box.","common","","27.99"
"LBB-HAS-ZI","Zizi","Have a Seat (V2)","Zizi from Labubu V2 Have a Seat blind box.","common","","27.99"
"LBB-HAS-QU","Ququ","Have a Seat (V2)","Ququ from Labubu V2 Have a Seat blind box.","common","","27.99"
"LBB-HAS-DA","Dada","Have a Seat (V2)","Dada from Labubu V2 Have a Seat blind box.","common","","27.99"
"LBB-HAS-SD","DuoDuo","Have a Seat (V2)","Secret character from V2 (DuoDuo).","secret","","27.99"
"LBB-BIE-LO","Love","Big Into Energy (V3)","Love from Labubu V3 Big Into Energy blind box.","common","","27.99"
"LBB-BIE-HA","Happiness","Big Into Energy (V3)","Happiness from Labubu V3 Big Into Energy blind box.","common","https://global-static.popmart.com/globalAdmin/1745405664470____happiness____.png?x-oss-process=image/format,webp","27.99"
"LBB-BIE-LY","Loyalty","Big Into Energy (V3)","Loyalty from Labubu V3 Big Into Energy blind box.","common","https://global-static.popmart.com/globalAdmin/1745405695191____luck____.png?x-oss-process=image/format,webp","27.99"
"LBB-BIE-SE","Serenity","Big Into Energy (V3)","Serenity from Labubu V3 Big Into Energy blind box.","common","","27.99"
"LBB-BIE-HO","Hope","Big Into Energy (V3)","Hope from Labubu V3 Big Into Energy blind box.","common","https://global-static.popmart.com/globalAdmin/1745405686256____hope____.png?x-oss-process=image/format,webp","27.99"
"LBB-BIE-LU","Luck","Big Into Energy (V3)","Luck from Labubu V3 Big Into Energy blind box.","common","","27.99"
"LBB-BIE-ID","ID","Big Into Energy (V3)","Secret character from V3 (ID/Secret).","secret","https://global-static.popmart.com/globalAdmin/1745405704500____id-secret____.png?x-oss-process=image/format,webp","27.99"
"LBB-PFL-A","A - Adventure","Pin for Love (V4)","Pin for Love V4 mini Labubu: A - Adventure","common","","22.99"
"LBB-PFL-B","B - Belief","Pin for Love (V4)","Pin for Love V4 mini Labubu: B - Belief","common","","22.99"
"LBB-PFL-C","C - Charmin","Pin for Love (V4)","Pin for Love V4 mini Labubu: C - Charming","common","","22.99"
"LBB-PFL-D","D - Dollar","Pin for Love (V4)","Pin for Love V4 mini Labubu: D - Dollar","common","","22.99"
"LBB-PFL-E","E - Equality","Pin for Love (V4)","Pin for Love V4 mini Labubu: E - Equality","common","","22.99"
"LBB-PFL-F","F - Future","Pin for Love (V4)","Pin for Love V4 mini Labubu: F - Future","common","","22.99"
"LBB-PFL-G","G - Giving","Pin for Love (V4)","Pin for Love V4 mini Labubu: G - Giving","common","","22.99"
"LBB-PFL-H","H - Happiness","Pin for Love (V4)","Pin for Love V4 mini Labubu: H - Happiness","common","","22.99"
"LBB-PFL-I","I - Imagination","Pin for Love (V4)","Pin for Love V4 mini Labubu: I - Imagination","common","","22.99"
"LBB-PFL-J","J - Joy","Pin for Love (V4)","Pin for Love V4 mini Labubu: J - Joy","common","","22.99"
"LBB-PFL-K","K - Knowledge","Pin for Love (V4)","Pin for Love V4 mini Labubu: K - Knowledge","common","","22.99"
"LBB-PFL-L","L - Love","Pin for Love (V4)","Pin for Love V4 mini Labubu: L - Love","common","","22.99"
"LBB-PFL-M","M - Motivation","Pin for Love (V4)","Pin for Love V4 mini Labubu: M - Motivation","common","","22.99"
"LBB-PFL-QM","? - Question Mark","Pin for Love (V4)","Special variant '?' called Emm.","common","","22.99"
"LBB-PFL-SH","Secret: Heart","Pin for Love (V4)","Secret character 'Heart' in V4.","secret","","22.99"
"LBB-PFL-N","N - Nice","Pin for Love (V4)","Pin for Love V4 mini Labubu: N - Nice","common","","22.99"
"LBB-PFL-O","O - Openness","Pin for Love (V4)","Pin for Love V4 mini Labubu: O - Openness","common","","22.99"
"LBB-PFL-P","P - Peace","Pin for Love (V4)","Pin for Love V4 mini Labubu: P - Peace","common","","22.99"
"LBB-PFL-Q","Q - Quiet","Pin for Love (V4)","Pin for Love V4 mini Labubu: Q - Quiet","common","","22.99"
"LBB-PFL-R","R - Respect","Pin for Love (V4)","Pin for Love V4 mini Labubu: R - Respect","common","","22.99"
"LBB-PFL-S","S - Smile","Pin for Love (V4)","Pin for Love V4 mini Labubu: S - Smile","common","","22.99"
"LBB-PFL-T","T - Trust","Pin for Love (V4)","Pin for Love V4 mini Labubu: T - Trust","common","","22.99"
"LBB-PFL-U","U - Unity","Pin for Love (V4)","Pin for Love V4 mini Labubu: U - Unity","common","","22.99"
"LBB-PFL-V","V - Victory","Pin for Love (V4)","Pin for Love V4 mini Labubu: V - Victory","common","","22.99"
"LBB-PFL-W","W - Win","Pin for Love (V4)","Pin for Love V4 mini Labubu: W - Win","common","","22.99"
"LBB-PFL-X","X - XFactor","Pin for Love (V4)","Pin for Love V4 mini Labubu: X - XFactor","common","","22.99"
"LBB-PFL-Y","Y - Yes","Pin for Love (V4)","Pin for Love V4 mini Labubu: Y - Yes","common","","22.99"
"LBB-PFL-Z","Z - Zest","Pin for Love (V4)","Pin for Love V4 mini Labubu: Z - Zest","common","","22.99"
"LBB-PFL-AND","& - And","Pin for Love (V4)","Pin for Love V4 mini Labubu: & - And","common","","22.99"
"LBB-PFL-SE","Secret: !","Pin for Love (V4)","Secret exclamation character in V4.","secret","","22.99"
"LBB-PLR-TTC","Time to Chill","Plush Releases","Plush release: Time to Chill.","epic","","82.99"
"LBB-PLR-DBL","Dress Be Latte","Plush Releases","Plush release: Dress Be Latte.","epic","","84.99"
"LBB-PLR-FWM","Flip With Me","Plush Releases","Plush release: Flip With Me.","epic","","99.99"
"LBB-PLR-FIW","Fall In Wild","Plush Releases","Plush release: Fall In Wild.","epic","","99.99"
"LBB-PLR-LC","Lets Checkmate","Plush Releases","Plush release: Lets Checkmate.","epic","","46.99"
"LBB-PLR-CMI","Catch Me If You Like Me","Plush Releases","Plush release: Catch Me If You Like Me.","epic","","114.99"
"LBB-PLR-CMIS","Catch Me If You Like Me Special Edition","Plush Releases","Plush release: Catch Me If You Like Me.","epic","","114.99"
"LBB-PLR-BFN","Be Fancy Now","Plush Releases","Plush release: Be Fancy Now.","epic","","99.99"
"LBB-REG-WBF","Walk By Fortune","Regional (China)","Plush release: Walk By Fortune.","epic","","500"
"LBB-PLR-SOP","Sitting Pumpkin","Special Releases","Plush release: Sit On Pumpkin.","epic","","42.99"
"LBB-REG-JFJ","Jump For Joy","Regional (China)","Plush release: Jump For Joy.","epic","","500"
"LBB-PLR-BOL","Best Of Luck","Plush Releases","Plush release: Best Of Luck.","epic","","84.99"
"LBB-PLR-VA","Vans","Plush Releases","Plush release: Vans.","epic","","84.99"
"LBB-PLR-WOFA","Wings Of Fantasy","Plush Releases","Plush release: Wings Of Fantasy.","epic","","119.99"
"LBB-PLR-14","14th Anniversary","Plush Releases","Plush release: 14th Anniversary.","epic","","491.05"
"LBB-PLR-WOF","Wings Of Fortune","Plush Releases","Plush release: Wings Of Fortune.","epic","","54.99"
"LBB-PLR-RTU","Rock the Universe","Plush Releases","Plush release: Rock the Universe.","epic","","114.99"
"LBB-REG-HAS","Hide and Seek","Regional (Singapore)","Special release: Hide and Seek.","common","","27.99"
"LBB-REG-GLT","Good Luck to You","Regional (Thailand)","Special release: Good Luck to You.","common","","27.99"
"LBB-REG-FFT","Forest Fairy Tale","Regional (China)","Special release: Forest Fairy Tale.","common","",""
"LBB-REG-WM","Wacky Mart","Regional (China)","Special release: Wacky Mart.","common","","7.99"
"LBB-ZIR-IFY","I Found You","Zimomo releases","Special release: I Found You (Zimomo).","uncommon","","55.99"
"LBB-ZIR-AIC","Angel In Clouds","Zimomo releases","Special release: Angel In Clouds (Zimomo).","uncommon","","55.99"
"LBB-MOR-TFT","Twinkly Fairy Tale","Mokoko releases","Special release: Twinkly Fairy Tale (Mokoko).","rare","","21.99"
"LBB-MOR-MOP","Magic of Pumpkin","Mokoko releases","Special release: Magic of Pumpkin (Mokoko).","rare","","21.99"
"LBB-MOR-FTS","Fall into Spring","Mokoko releases","Special release: Fall To Spring (Mokoko).","rare","","83.99"
"LBB-CLA-SS","Surprise Shake","Coca Cola","Plush release: Coca-Cola.","common","","46.99"
"LBB-CLA-HF","Happy Factor","Coca Cola","Plush release: Coca-Cola.","common","","46.99"
"LBB-CLA-MG","Mysterious Guest","Coca Cola","Plush release: Coca-Cola.","secret","","46.99"
