sku,name,series,description,rarity,image,msrp
"LBB-EXM-SM","Soy Milk","Exciting Macaron (V1)","Soy Milk from Labubu V1 Exciting Macaron blind box.","common","src/assets/exciting macaron/LBB-EXM-SM.png",27.99
"LBB-EXM-GG","Green Grape","Exciting Macaron (V1)","Green Grape from Labubu V1 Exciting Macaron blind box.","common","src/assets/exciting macaron/LBB-EXM-GG.png",27.99
"LBB-EXM-LB","Lychee Berry","Exciting Macaron (V1)","Lychee Berry from Labubu V1 Exciting Macaron blind box.","common","src/assets/exciting macaron/LBB-EXM-LB.png",27.99
"LBB-EXM-SSC","Sea Salt Coconut","Exciting Macaron (V1)","Sea Salt Coconut from Labubu V1 Exciting Macaron blind box.","common","src/assets/exciting macaron/LBB-EXM-SSC.png",27.99
"LBB-EXM-SB","Sesame Bean","Exciting Macaron (V1)","Sesame Bean from Labubu V1 Exciting Macaron blind box.","common","src/assets/exciting macaron/LBB-EXM-SB.png",27.99
"LBB-EXM-TO","Toffee","Exciting Macaron (V1)","Toffee from Labubu V1 Exciting Macaron blind box.","common","src/assets/exciting macaron/LBB-EXM-TO.png",27.99
"LBB-EXM-SCC","Chestnut Cocoa","Exciting Macaron (V1)","Secret character from V1 (Chestnut Cocoa).","secret","src/assets/exciting macaron/LBB-EXM-SCC.png",27.99
"LBB-HAS-SI","Sisi","Have a Seat (V2)","Sisi from Labubu V2 Have a Seat blind box.","common","src/assets/have a seat/LBB-HAS-SI.png",27.99
"LBB-HAS-HE","Hehe","Have a Seat (V2)","Hehe from Labubu V2 Have a Seat blind box.","common","src/assets/have a seat/LBB-HAS-HE.png",27.99
"LBB-HAS-BA","Baba","Have a Seat (V2)","Baba from Labubu V2 Have a Seat blind box.","common","src/assets/have a seat/LBB-HAS-BA.png",27.99
"LBB-HAS-ZI","Zizi","Have a Seat (V2)","Zizi from Labubu V2 Have a Seat blind box.","common","src/assets/have a seat/LBB-HAS-ZI.png",27.99
"LBB-HAS-QU","Ququ","Have a Seat (V2)","Ququ from Labubu V2 Have a Seat blind box.","common","src/assets/have a seat/LBB-HAS-QU.png",27.99
"LBB-HAS-DA","Dada","Have a Seat (V2)","Dada from Labubu V2 Have a Seat blind box.","common","src/assets/have a seat/LBB-HAS-DA.png",27.99
"LBB-HAS-SD","DuoDuo","Have a Seat (V2)","Secret character from V2 (DuoDuo).","secret","src/assets/have a seat/LBB-HAS-SD.png",27.99
"LBB-BIE-LO","Love","Big Into Energy (V3)","Love from Labubu V3 Big Into Energy blind box.","common","src/assets/big into energy/LBB-BIE-LO.png",27.99
"LBB-BIE-HA","Happiness","Big Into Energy (V3)","Happiness from Labubu V3 Big Into Energy blind box.","common","https://global-static.popmart.com/globalAdmin/1745405664470____happiness____.png?x-oss-process=image/format,webp",27.99
"LBB-BIE-LY","Loyalty","Big Into Energy (V3)","Loyalty from Labubu V3 Big Into Energy blind box.","common","https://global-static.popmart.com/globalAdmin/1745405695191____luck____.png?x-oss-process=image/format,webp",27.99
"LBB-BIE-SE","Serenity","Big Into Energy (V3)","Serenity from Labubu V3 Big Into Energy blind box.","common","src/assets/big into energy/LBB-BIE-SE.png",27.99
"LBB-BIE-HO","Hope","Big Into Energy (V3)","Hope from Labubu V3 Big Into Energy blind box.","common","https://global-static.popmart.com/globalAdmin/1745405686256____hope____.png?x-oss-process=image/format,webp",27.99
"LBB-BIE-LU","Luck","Big Into Energy (V3)","Luck from Labubu V3 Big Into Energy blind box.","common","src/assets/big into energy/LBB-BIE-LU.png",27.99
"LBB-BIE-ID","ID","Big Into Energy (V3)","Secret character from V3 (ID/Secret).","secret","https://global-static.popmart.com/globalAdmin/1745405704500____id-secret____.png?x-oss-process=image/format,webp",27.99
"LBB-PFL-A","A - Adventure","Pin for Love (V4)","Pin for Love V4 mini Labubu: A - Adventure","common","src/assets/pin for love/LBB-PFL-A.png",22.99
"LBB-PFL-B","B - Belief","Pin for Love (V4)","Pin for Love V4 mini Labubu: B - Belief","common","src/assets/pin for love/LBB-PFL-B.png",22.99
